name,sku,barcode,category,sales_price,product_cost,stock,warning_limit,unit,featured,unlimited,image
lilin 2500,ID005,,,"1,500",0,0,0,pcs,no,yes,
O9,ID006,,rokok,"8,500",0,0,0,pcs,no,yes,
1 Ds ABC Botol 200,ID007,,,"73,000",0,0,0,dus,no,yes,
1 Ds Aquviva 700 ml,ID008,,minuman,"22,500",0,0,0,dus,no,yes,
1 Ds Indomie Goreng,ID009,,mie,"114,000",0,0,0,dus,no,yes,
1 Ds Indomie Soto,ID010,,mie,"108,000",0,0,0,,no,yes,
1 Ds Montis 50 Fly,ID011,,,"150,000",0,0,0,,no,yes,
1 Ds mama lemon 1000,ID012,,,"62,000",0,0,0,,no,yes,
1 Ds Rota 2000,ID013,,,"98,000",0,0,0,,no,yes,
1 Pak Amplop K,ID014,,,"10,000",0,0,0,,no,yes,
1 Pak Basreng 500,ID015,,,"10,000",0,0,0,,no,yes,
1 Pak p not,ID016,,,"18,000",0,0,0,,no,yes,
1 Pak Roma Kelapa Cream,ID017,,,"21,000",0,0,0,,no,yes,
1 Pak Terasi Udang,ID018,,,"7,000",0,0,0,,no,yes,
1 Pak top 1000,ID019,,,"9,000",0,0,0,,no,yes,
1 Pak beter,ID020,,,"17,000",0,0,0,,no,yes,
1 Pak Imperial,ID021,,,"19,000",0,0,0,,no,yes,
1 Pak Marie Gold,ID022,,,"21,000",0,0,0,,no,yes,
1 Pak Pemen Alpenlible,ID023,,,"7,000",0,0,0,,no,yes,
1001 Alami,ID024,,,"10,000",0,0,0,,no,yes,
153,ID025,,,"8,500",0,0,0,,no,yes,
169,ID026,,,"8,000",0,0,0,,no,yes,
1 Ds Aqua vit 240 ml,ID027,,,"27,000",0,0,0,,no,yes,
1 Ds cocona 2000,ID028,,,"33,000",0,0,0,,no,yes,
1 ds Neslite 330,ID029,,,"20,000",0,0,0,,no,yes,
1 ds Neslite 600,ID030,,,"25,000",0,0,0,,no,yes,
1 Pak teh poci 500,ID031,,,"3,000",0,0,0,,no,yes,
2 Tang isi,ID032,,,"16,000",0,0,0,,no,yes,
222,ID033,,,"7,500",0,0,0,,no,yes,
303,ID034,,,"11,700",0,0,0,,no,yes,
327 Kretek,ID035,,,"6,000",0,0,0,,no,yes,
363,ID036,,,"7,000",0,0,0,,no,yes,
369,ID037,,,"6,300",0,0,0,,no,yes,
41,ID038,,,"9,000",0,0,0,,no,yes,
7 Bintang,ID039,,,"6,500",0,0,0,,no,yes,
72 Kretek,ID040,,,"11,500",0,0,0,,no,yes,
76,ID041,,,"14,700",0,0,0,,no,yes,
76 Gold,ID042,,,"20,000",0,0,0,,no,yes,
76 Kretek 16,ID043,,,"17,300",0,0,0,,no,yes,
76 Kurma,ID044,,,"13,500",0,0,0,,no,yes,
76 Madu,ID045,,,"13,400",0,0,0,,no,yes,
76 Madu Hitam,ID046,,,"13,500",0,0,0,,no,yes,
76 Mangga,ID047,,,"13,700",0,0,0,,no,yes,
76 Mangga Eceran,ID048,,,"1,142",0,0,0,,no,yes,
76 Mangga Filter,ID049,,,"23,000",0,0,0,,no,yes,
76 Nanas,ID050,,,"13,700",0,0,0,,no,yes,
76 Royal,ID051,,,"16,000",0,0,0,,no,yes,
82,ID052,,,"9,000",0,0,0,,no,yes,
83 Gelas,ID053,,,"15,500",0,0,0,,no,yes,
86 Bold,ID054,,,"13,000",0,0,0,,no,yes,
A1 Filter 16,ID055,,,"20,000",0,0,0,,no,yes,
ABC Botol 200 ml,ID056,,,"3,100",0,0,0,,no,yes,
ABC Klepon,ID057,,,"1,650",0,0,0,,no,yes,
ABC Kopi Susu Gula Arenn,ID058,,,"1,650",0,0,0,,no,yes,
ABC Moca,ID059,,,"1,650",0,0,0,,no,yes,
ABC Plus,ID060,,,"1,650",0,0,0,,no,yes,
ABC Plus 500,ID061,,,450,0,0,0,,no,yes,
ABC Sambal Nusantara terasi,ID062,,,"1,250",0,0,0,,no,yes,
ABC Squash Delight,ID063,,,"11,000",0,0,0,,no,yes,
ABC Susu,ID064,,,"1,650",0,0,0,,no,yes,
ABC Susu ds,ID065,,,"197,000",0,0,0,,no,yes,
ABC Ultra Sari Kacang Hijau,ID066,,,"3,600",0,0,0,,no,yes,
Abon Nuri,ID067,,,"1,800",0,0,0,,no,yes,
Abon Sapi,ID068,,,"9,000",0,0,0,,no,yes,
ABS Black Putih,ID069,,,"17,000",0,0,0,,no,yes,
ABS Black bold,ID070,,,"17,000",0,0,0,,no,yes,
ABS Bold,ID071,,,"17,000",0,0,0,,no,yes,
ACC B,ID072,,,"13,500",0,0,0,,no,yes,
ACC Bool,ID073,,,"18,500",0,0,0,,no,yes,
ada 12,ID074,,,"7,000",0,0,0,,no,yes,
Adem Sari Botol,ID075,,,"5,650",0,0,0,,no,yes,
Adem Sari Chingku,ID076,,,"5,850",0,0,0,,no,yes,
Adem Sari Saset,ID077,,,"2,000",0,0,0,,no,yes,
Adent,ID078,,,"8,000",0,0,0,,no,yes,
Advan,ID079,,,"11,500",0,0,0,,no,yes,
Aef,ID080,,,"7,500",0,0,0,,no,yes,
Aga + ,ID081,,,"13,900",0,0,0,,no,yes,
Agar Jelly Sereh,ID082,,,"2,500",0,0,0,,no,yes,
Agar Satelit,ID083,,,"3,500",0,0,0,,no,yes,
Agar Swallow,ID084,,,"4,000",0,0,0,,no,yes,
Age Pro,ID085,,,"8,000",0,0,0,,no,yes,
Ahh 1000 1 Pk,ID086,,,"8,500",0,0,0,,no,yes,
Aice 12.000,ID087,,,"10,000",0,0,0,,no,yes,
Aice 1500,ID088,,,900,0,0,0,,no,yes,
Aice 2000,ID089,,,"1,615",0,0,0,,no,yes,
Aice 2500,ID090,,,"1,950",0,0,0,,no,yes,
Aice 3000,ID091,,,"2,400",0,0,0,,no,yes,
Aice 3.500,ID092,,,"2,800",0,0,0,,no,yes,
Aice 4000,ID093,,,"3,200",0,0,0,,no,yes,
Aice 4500,ID094,,,"3,800",0,0,0,,no,yes,
Aice 5000,ID095,,,"4,000",0,0,0,,no,yes,
Aice 5500,ID096,,,"4,700",0,0,0,,no,yes,
Aice 6000,ID097,,,"5,000",0,0,0,,no,yes,
Aice 7000,ID098,,,"5,500",0,0,0,,no,yes,
Aice 9000,ID099,,,"7,000",0,0,0,,no,yes,
Aice 9000,ID100,,,"7,500",0,0,0,,no,yes,
Aice Bingo 1 Ds,ID101,,,"97,000",0,0,0,,no,yes,
Aice Chocolate Chsripsy 1 ds,ID102,,,"117,000",0,0,0,,no,yes,
Aice Con Max 1ds,ID103,,,"97,500",0,0,0,,no,yes,
Aice Copy Chrispy 1 Ds,ID104,,,"110,000",0,0,0,,no,yes,
Aice Cream,ID105,,,"1,084,000",0,0,0,,no,yes,
Aice Fungsi 1 ds,ID106,,,"97,000",0,0,0,,no,yes,
Aice Melon 1ds,ID107,,,"95,000",0,0,0,,no,yes,
Aice Miki2 1 ds,ID108,,,"93,500",0,0,0,,no,yes,
Aice Moci 1 Ds,ID109,,,"94,500",0,0,0,,no,yes,
Aice Mociato,ID110,,,"8,000",0,0,0,,no,yes,
Aice nanas 1 Ds,ID111,,,"77,500",0,0,0,,no,yes,
Aice Semangka 1ds,ID112,,,"77,500",0,0,0,,no,yes,
Aice Stroowberry Chrispy 1 Ds,ID113,,,"110,000",0,0,0,,no,yes,
Aice Sunday cup 1 ds,ID114,,,"97,000",0,0,0,,no,yes,
Aice Sweet cron 1 ds,ID115,,,"96,000",0,0,0,,no,yes,
Aice Two Color 1 Ds,ID116,,,"92,000",0,0,0,,no,yes,
Aice Yo Gurt,ID117,,,"1,600",0,0,0,,no,yes,
Aida,ID118,,,"1,100",0,0,0,,no,yes,
Air Botol 1500 1ds,ID119,,,"24,000",0,0,0,,no,yes,
Air Botol 600 1 ds,ID120,,,"23,000",0,0,0,,no,yes,
Air Botol T 1000,ID121,,,900,0,0,0,,no,yes,
Air Botol T 1000 1 ds,ID122,,,"21,000",0,0,0,,no,yes,
Air Club 1500 Eceran,ID123,,,"3,250",0,0,0,,no,yes,
Air Club Tanggung,ID124,,,"1,450",0,0,0,,no,yes,
Air Fort 600 ml,ID125,,,"26,000",0,0,0,,no,yes,
Air Fort Gelas,ID126,,,"14,000",0,0,0,,no,yes,
Air Gelas,ID127,,,325,0,0,0,,no,yes,
Air Gia 1500,ID128,,,"24,000",0,0,0,,no,yes,
Air Giat 600,ID129,,,"22,000",0,0,0,,no,yes,
Air Gunung 1500,ID130,,,"27,000",0,0,0,,no,yes,
Air Gunung 1500 Eceran,ID131,,,"2,250",0,0,0,,no,yes,
Air Gunung 600,ID132,,,"27,000",0,0,0,,no,yes,
Air Gunung 600,ID133,,,"1,125",0,0,0,,no,yes,
Air Gunung Gelas,ID134,,,"16,000",0,0,0,,no,yes,
Air has 1500 1 ds,ID135,,,"25,000",0,0,0,,no,yes,
Air Has 1500 Eceran,ID136,,,"2,100",0,0,0,,no,yes,
Air Has 600 1 ds,ID137,,,"19,500",0,0,0,,no,yes,
Air Has 600 Eceran,ID138,,,825,0,0,0,,no,yes,
Air Isi Ulang,ID139,,,"3,500",0,0,0,,no,yes,
Air Mawar,ID140,,,"4,500",0,0,0,,no,yes,
Air Pola Gelas,ID141,,,"14,000",0,0,0,,no,yes,
Air Santri 1500 1ds ,ID142,,,"38,000",0,0,0,,no,yes,
Air Santri 1500 Eceran,ID143,,,"3,166",0,0,0,,no,yes,
Air Santri 600 1ds,ID144,,,"36,000",0,0,0,,no,yes,
Air Santri 600 Eceran,ID145,,,"1,500",0,0,0,,no,yes,
Air Ted 600,ID146,,,"25,000",0,0,0,,no,yes,
Air Top Qua Gelas,ID147,,,"14,000",0,0,0,,no,yes,
Air Zui 600 ml 1 ds,ID148,,,"22,000",0,0,0,,no,yes,
Aito,ID149,,,"9,000",0,0,0,,no,yes,
Ajinomoto 1000,ID150,,,900,0,0,0,,no,yes,
Aijomoto 3000,ID151,,,"2,500",0,0,0,,no,yes,
Ajinomoto 50 gr,ID152,,,"1,500",0,0,0,,no,yes,
Ajinomoto 90 gr,ID153,,,"4,500",0,0,0,,no,yes,
Ajinomoto 250 gr,ID154,,,"11,000",0,0,0,,no,yes,
Aktif Mild 16,ID155,,,"20,700",0,0,0,,no,yes,
Al Baik,ID156,,,"10,500",0,0,0,,no,yes,
Ai Bold,ID157,,,"24,500",0,0,0,,no,yes,
Al Filter 12,ID158,,,"15,500",0,0,0,,no,yes,
Al Filter 16,ID159,,,"20,500",0,0,0,,no,yes,
